"id","adcode","name","city_id:id","district_id:id"
"town_cn_110106_10","110106","卢沟桥街道","city_cn_110100","district_cn_110106"
"town_cn_110106_11","110106","太平桥街道","city_cn_110100","district_cn_110106"
"town_cn_110106_12","110106","方庄镇","city_cn_110100","district_cn_110106"
"town_cn_110106_13","110106","花乡乡","city_cn_110100","district_cn_110106"
"town_cn_110106_14","110106","和义街道","city_cn_110100","district_cn_110106"
"town_cn_110106_15","110106","新村街道","city_cn_110100","district_cn_110106"
"town_cn_110106_16","110106","东高地街道","city_cn_110100","district_cn_110106"
"town_cn_110106_17","110106","西罗园街道","city_cn_110100","district_cn_110106"
"town_cn_110106_18","110106","云岗街道","city_cn_110100","district_cn_110106"
"town_cn_110106_19","110106","长辛店镇","city_cn_110100","district_cn_110106"
"town_cn_110106_20","110106","丰台街道","city_cn_110100","district_cn_110106"
"town_cn_110106_21","110106","王佐镇","city_cn_110100","district_cn_110106"
"town_cn_110107_01","110107","五里坨街道","city_cn_110100","district_cn_110107"
"town_cn_110107_02","110107","八角街道","city_cn_110100","district_cn_110107"
"town_cn_110107_03","110107","广宁街道","city_cn_110100","district_cn_110107"
"town_cn_110107_04","110107","鲁谷街道","city_cn_110100","district_cn_110107"
"town_cn_110107_05","110107","老山街道","city_cn_110100","district_cn_110107"
"town_cn_110107_06","110107","八宝山街道","city_cn_110100","district_cn_110107"
"town_cn_110107_07","110107","苹果园街道","city_cn_110100","district_cn_110107"
"town_cn_110107_08","110107","金顶街街道","city_cn_110100","district_cn_110107"
"town_cn_110107_09","110107","古城街道","city_cn_110100","district_cn_110107"
"town_cn_110108_01","110108","北太平庄街道","city_cn_110100","district_cn_110108"
"town_cn_110108_02","110108","温泉镇","city_cn_110100","district_cn_110108"
"town_cn_110108_03","110108","花园路街道","city_cn_110100","district_cn_110108"
"town_cn_110108_04","110108","学院路街道","city_cn_110100","district_cn_110108"
"town_cn_110108_05","110108","紫竹院街道","city_cn_110100","district_cn_110108"
"town_cn_110108_06","110108","万柳镇","city_cn_110100","district_cn_110108"
"town_cn_110108_07","110108","北下关街道","city_cn_110100","district_cn_110108"
"town_cn_110108_08","110108","海淀街道","city_cn_110100","district_cn_110108"
"town_cn_110108_09","110108","永定路街道","city_cn_110100","district_cn_110108"
"town_cn_110108_10","110108","四季青镇","city_cn_110100","district_cn_110108"
