"id","adcode","name","state_id:id","city_id:id","zipcode","area_code"
"district_cn_130402","130402","邯山区","base.state_cn_HE","city_cn_130400","056000","0310"
"district_cn_130403","130403","丛台区","base.state_cn_HE","city_cn_130400","056000","0310"
"district_cn_130404","130404","复兴区","base.state_cn_HE","city_cn_130400","056000","0310"
"district_cn_130406","130406","峰峰矿区","base.state_cn_HE","city_cn_130400","056200","0310"
"district_cn_130407","130407","肥乡区","base.state_cn_HE","city_cn_130400","057500","0310"
"district_cn_130408","130408","永年区","base.state_cn_HE","city_cn_130400","057100","0310"
"district_cn_130423","130423","临漳县","base.state_cn_HE","city_cn_130400","056600","0310"
"district_cn_130424","130424","成安县","base.state_cn_HE","city_cn_130400","056700","0310"
"district_cn_130425","130425","大名县","base.state_cn_HE","city_cn_130400","056900","0310"
"district_cn_130426","130426","涉县","base.state_cn_HE","city_cn_130400","056400","0310"
"district_cn_130427","130427","磁县","base.state_cn_HE","city_cn_130400","056500","0310"
"district_cn_130430","130430","邱县","base.state_cn_HE","city_cn_130400","057400","0310"
"district_cn_130431","130431","鸡泽县","base.state_cn_HE","city_cn_130400","057300","0310"
"district_cn_130432","130432","广平县","base.state_cn_HE","city_cn_130400","057600","0310"
"district_cn_130433","130433","馆陶县","base.state_cn_HE","city_cn_130400","057700","0310"
"district_cn_130434","130434","魏县","base.state_cn_HE","city_cn_130400","056800","0310"
"district_cn_130435","130435","曲周县","base.state_cn_HE","city_cn_130400","057200","0310"
"district_cn_130481","130481","武安市","base.state_cn_HE","city_cn_130400","056300","0310"
"district_cn_130502","130502","桥东区","base.state_cn_HE","city_cn_130500","054000","0319"
"district_cn_130503","130503","桥西区","base.state_cn_HE","city_cn_130500","054000","0319"
"district_cn_130521","130521","邢台县","base.state_cn_HE","city_cn_130500","054000","0319"
"district_cn_130522","130522","临城县","base.state_cn_HE","city_cn_130500","054300","0319"
"district_cn_130523","130523","内丘县","base.state_cn_HE","city_cn_130500","054200","0319"
"district_cn_130524","130524","柏乡县","base.state_cn_HE","city_cn_130500","055400","0319"
"district_cn_130525","130525","隆尧县","base.state_cn_HE","city_cn_130500","055300","0319"
"district_cn_130526","130526","任县","base.state_cn_HE","city_cn_130500","055100","0319"
"district_cn_130527","130527","南和县","base.state_cn_HE","city_cn_130500","054400","0319"
"district_cn_130528","130528","宁晋县","base.state_cn_HE","city_cn_130500","055500","0319"
"district_cn_130529","130529","巨鹿县","base.state_cn_HE","city_cn_130500","055200","0319"
"district_cn_130530","130530","新河县","base.state_cn_HE","city_cn_130500","055600","0319"
"district_cn_130531","130531","广宗县","base.state_cn_HE","city_cn_130500","054600","0319"
"district_cn_130532","130532","平乡县","base.state_cn_HE","city_cn_130500","054500","0319"
"district_cn_130533","130533","威县","base.state_cn_HE","city_cn_130500","054700","0319"
"district_cn_130534","130534","清河县","base.state_cn_HE","city_cn_130500","054800","0319"
"district_cn_130535","130535","临西县","base.state_cn_HE","city_cn_130500","054900","0319"
"district_cn_130581","130581","南宫市","base.state_cn_HE","city_cn_130500","055700","0319"
"district_cn_130582","130582","沙河市","base.state_cn_HE","city_cn_130500","054100","0319"
"district_cn_130602","130602","竞秀区","base.state_cn_HE","city_cn_130600","071000","0312"
"district_cn_130606","130606","莲池区","base.state_cn_HE","city_cn_130600","071000","0312"
"district_cn_130607","130607","满城区","base.state_cn_HE","city_cn_130600","072100","0312"
"district_cn_130608","130608","清苑区","base.state_cn_HE","city_cn_130600","071100","0312"
"district_cn_130609","130609","徐水区","base.state_cn_HE","city_cn_130600","072500","0312"
"district_cn_130623","130623","涞水县","base.state_cn_HE","city_cn_130600","074100","0312"
"district_cn_130624","130624","阜平县","base.state_cn_HE","city_cn_130600","073200","0312"
"district_cn_130626","130626","定兴县","base.state_cn_HE","city_cn_130600","072600","0312"
"district_cn_130627","130627","唐县","base.state_cn_HE","city_cn_130600","072300","0312"
"district_cn_130628","130628","高阳县","base.state_cn_HE","city_cn_130600","071500","0312"
"district_cn_130629","130629","容城县","base.state_cn_HE","city_cn_130600","071700","0312"
"district_cn_130630","130630","涞源县","base.state_cn_HE","city_cn_130600","074300","0312"
"district_cn_130631","130631","望都县","base.state_cn_HE","city_cn_130600","072400","0312"
"district_cn_130632","130632","安新县","base.state_cn_HE","city_cn_130600","071600","0312"
"district_cn_130633","130633","易县","base.state_cn_HE","city_cn_130600","074200","0312"
"district_cn_130634","130634","曲阳县","base.state_cn_HE","city_cn_130600","073100","0312"
"district_cn_130635","130635","蠡县","base.state_cn_HE","city_cn_130600","071400","0312"
"district_cn_130636","130636","顺平县","base.state_cn_HE","city_cn_130600","072200","0312"
"district_cn_130637","130637","博野县","base.state_cn_HE","city_cn_130600","071300","0312"
"district_cn_130638","130638","雄县","base.state_cn_HE","city_cn_130600","071800","0312"
"district_cn_130681","130681","涿州市","base.state_cn_HE","city_cn_130600","072700","0312"
"district_cn_130682","130682","定州市","base.state_cn_HE","city_cn_130600","073000","0312"
"district_cn_130683","130683","安国市","base.state_cn_HE","city_cn_130600","071200","0312"
"district_cn_130684","130684","高碑店市","base.state_cn_HE","city_cn_130600","074000","0312"
"district_cn_130702","130702","桥东区","base.state_cn_HE","city_cn_130700","075000","0313"
"district_cn_130703","130703","桥西区","base.state_cn_HE","city_cn_130700","075000","0313"
"district_cn_130705","130705","宣化区","base.state_cn_HE","city_cn_130700","075100","0313"
"district_cn_130706","130706","下花园区","base.state_cn_HE","city_cn_130700","075300","0313"
"district_cn_130708","130708","万全区","base.state_cn_HE","city_cn_130700","076200","0313"
"district_cn_130709","130709","崇礼区","base.state_cn_HE","city_cn_130700","076300","0313"
"district_cn_130722","130722","张北县","base.state_cn_HE","city_cn_130700","076400","0313"
"district_cn_130723","130723","康保县","base.state_cn_HE","city_cn_130700","076600","0313"
"district_cn_130724","130724","沽源县","base.state_cn_HE","city_cn_130700","076500","0313"
"district_cn_130725","130725","尚义县","base.state_cn_HE","city_cn_130700","076700","0313"
"district_cn_130726","130726","蔚县","base.state_cn_HE","city_cn_130700","075700","0313"
"district_cn_130727","130727","阳原县","base.state_cn_HE","city_cn_130700","075800","0313"
"district_cn_130728","130728","怀安县","base.state_cn_HE","city_cn_130700","076100","0313"
"district_cn_130730","130730","怀来县","base.state_cn_HE","city_cn_130700","075400","0313"
"district_cn_130731","130731","涿鹿县","base.state_cn_HE","city_cn_130700","075600","0313"
"district_cn_130732","130732","赤城县","base.state_cn_HE","city_cn_130700","075500","0313"
"district_cn_130802","130802","双桥区","base.state_cn_HE","city_cn_130800","067000","0314"
"district_cn_130803","130803","双滦区","base.state_cn_HE","city_cn_130800","067100","0314"
"district_cn_130804","130804","鹰手营子矿区","base.state_cn_HE","city_cn_130800","067200","0314"
"district_cn_130821","130821","承德县","base.state_cn_HE","city_cn_130800","067400","0314"
"district_cn_130822","130822","兴隆县","base.state_cn_HE","city_cn_130800","067300","0314"
"district_cn_130824","130824","滦平县","base.state_cn_HE","city_cn_130800","068200","0314"
"district_cn_130825","130825","隆化县","base.state_cn_HE","city_cn_130800","068100","0314"
"district_cn_130826","130826","丰宁满族自治县","base.state_cn_HE","city_cn_130800","068300","0314"
"district_cn_130827","130827","宽城满族自治县","base.state_cn_HE","city_cn_130800","067600","0314"
"district_cn_130828","130828","围场满族蒙古族自治县","base.state_cn_HE","city_cn_130800","068400","0314"
"district_cn_130881","130881","平泉市","base.state_cn_HE","city_cn_130800","067500","0314"
"district_cn_130902","130902","新华区","base.state_cn_HE","city_cn_130900","061000","0317"
"district_cn_130903","130903","运河区","base.state_cn_HE","city_cn_130900","061000","0317"
"district_cn_130921","130921","沧县","base.state_cn_HE","city_cn_130900","061700","0317"
"district_cn_130922","130922","青县","base.state_cn_HE","city_cn_130900","062600","0317"
"district_cn_130923","130923","东光县","base.state_cn_HE","city_cn_130900","061600","0317"
"district_cn_130924","130924","海兴县","base.state_cn_HE","city_cn_130900","061200","0317"
"district_cn_130925","130925","盐山县","base.state_cn_HE","city_cn_130900","061300","0317"
"district_cn_130926","130926","肃宁县","base.state_cn_HE","city_cn_130900","062300","0317"
"district_cn_130927","130927","南皮县","base.state_cn_HE","city_cn_130900","061500","0317"
"district_cn_130928","130928","吴桥县","base.state_cn_HE","city_cn_130900","061800","0317"
"district_cn_130929","130929","献县","base.state_cn_HE","city_cn_130900","062200","0317"
"district_cn_130930","130930","孟村回族自治县","base.state_cn_HE","city_cn_130900","061400","0317"
"district_cn_130981","130981","泊头市","base.state_cn_HE","city_cn_130900","062100","0317"
"district_cn_130982","130982","任丘市","base.state_cn_HE","city_cn_130900","062500","0317"
"district_cn_130983","130983","黄骅市","base.state_cn_HE","city_cn_130900","061100","0317"
"district_cn_130984","130984","河间市","base.state_cn_HE","city_cn_130900","062400","0317"
"district_cn_131002","131002","安次区","base.state_cn_HE","city_cn_131000","065000","0316"
"district_cn_131003","131003","广阳区","base.state_cn_HE","city_cn_131000","065000","0316"
"district_cn_131022","131022","固安县","base.state_cn_HE","city_cn_131000","065500","0316"
"district_cn_131023","131023","永清县","base.state_cn_HE","city_cn_131000","065600","0316"
"district_cn_131024","131024","香河县","base.state_cn_HE","city_cn_131000","065400","0316"
"district_cn_131025","131025","大城县","base.state_cn_HE","city_cn_131000","065900","0316"
"district_cn_131026","131026","文安县","base.state_cn_HE","city_cn_131000","065800","0316"
"district_cn_131028","131028","大厂回族自治县","base.state_cn_HE","city_cn_131000","065300","0316"
"district_cn_131081","131081","霸州市","base.state_cn_HE","city_cn_131000","065700","0316"
"district_cn_131082","131082","三河市","base.state_cn_HE","city_cn_131000","065200","0316"
"district_cn_131102","131102","桃城区","base.state_cn_HE","city_cn_131100","053000","0318"
"district_cn_131103","131103","冀州区","base.state_cn_HE","city_cn_131100","053200","0318"
"district_cn_131121","131121","枣强县","base.state_cn_HE","city_cn_131100","053100","0318"
"district_cn_131122","131122","武邑县","base.state_cn_HE","city_cn_131100","053400","0318"
"district_cn_131123","131123","武强县","base.state_cn_HE","city_cn_131100","053300","0318"
"district_cn_131124","131124","饶阳县","base.state_cn_HE","city_cn_131100","053900","0318"
"district_cn_131125","131125","安平县","base.state_cn_HE","city_cn_131100","053600","0318"
"district_cn_131126","131126","故城县","base.state_cn_HE","city_cn_131100","053800","0318"
"district_cn_131127","131127","景县","base.state_cn_HE","city_cn_131100","053500","0318"
"district_cn_131128","131128","阜城县","base.state_cn_HE","city_cn_131100","053700","0318"
"district_cn_131182","131182","深州市","base.state_cn_HE","city_cn_131100","053800","0318"
"district_cn_140105","140105","小店区","base.state_cn_SX","city_cn_140100","030000","0351"
"district_cn_140106","140106","迎泽区","base.state_cn_SX","city_cn_140100","030000","0351"
"district_cn_140107","140107","杏花岭区","base.state_cn_SX","city_cn_140100","030000","0351"
"district_cn_140108","140108","尖草坪区","base.state_cn_SX","city_cn_140100","030000","0351"
"district_cn_140109","140109","万柏林区","base.state_cn_SX","city_cn_140100","030000","0351"
"district_cn_140110","140110","晋源区","base.state_cn_SX","city_cn_140100","030000","0351"
"district_cn_140121","140121","清徐县","base.state_cn_SX","city_cn_140100","030400","0351"
"district_cn_140122","140122","阳曲县","base.state_cn_SX","city_cn_140100","030100","0351"
"district_cn_140123","140123","娄烦县","base.state_cn_SX","city_cn_140100","030300","0351"
"district_cn_140181","140181","古交市","base.state_cn_SX","city_cn_140100","030200","0351"
"district_cn_140212","140212","新荣区","base.state_cn_SX","city_cn_140200","037000","0352"
"district_cn_140213","140213","平城区","base.state_cn_SX","city_cn_140200","037000","0352"
"district_cn_140214","140214","云冈区","base.state_cn_SX","city_cn_140200","037000","0352"
"district_cn_140215","140215","云州区","base.state_cn_SX","city_cn_140200","037300","0352"
